date,Washing Machine,PROGRAM,TIME TO FILL,TOTAL TIME,ELEC,WATER 1,WATER 2,GAS,CHEMICAL,COST PER KW,GAS COST,Water cost,TOTAL
3/18/2025,Tolon No.3 60kg (3),3,5.2,40,1.27,0.31,0.04,0.4,,0.200152,0.018336,1.386,1.604488
3/18/2025,Tolon No. 2 60kg (2),6,10.3,54,1.33,0.18,0.17,1.5,,0.209608,0.06876,1.386,1.664368
3/18/2025,Tolon No. 2 60kg (2),7,7.3,57,1.35,0.26,0.14,1.3,,0.21276,0.059592,1.584,1.856352
3/18/2025,Tolon No.1 60Kg (1),6,10.3,51,1.43,0.17,0.16,1.5,,0.225368,0.06876,1.3068,1.600928
3/18/2025,Tolon No. 2 60kg (2),7,8.4,53,1.26,0.27,0.14,1.3,,0.198576,0.059592,1.6236,1.881768
3/18/2025,Tolon No.3 60kg (3),6,11,52,1.44,0.15,0.17,1.5,,0.226944,0.06876,1.2672,1.562904
3/18/2025,Tolon No.3 60kg (3),6,10.05,48,1.4,0.2,0.15,1.3,,0.22064,0.059592,1.386,1.666232
3/18/2025,Tolon No. 2 60kg (2),6,9.4,56,1.59,0.21,0.16,1.4,,0.250584,0.064176,1.4652,1.77996
3/18/2025,Tolon No. 2 60kg (2),6,10.2,59,1.54,0.18,0.17,1.4,,0.242704,0.064176,1.386,1.69288
3/19/2025,Tolon No.1 60Kg (1),7,8.5,51,1.28,0.26,0.14,1.6,,0.201728,0.073344,1.584,1.859072
3/19/2025,Tolon No. 2 60kg (2),7,7.35,50,1.24,0.26,0.15,1.5,,0.195424,0.06876,1.6236,1.887784
3/19/2025,Tolon No.3 60kg (3),6,9.23,55,1.5,0.17,0.16,1.6,,0.2364,0.073344,1.3068,1.616544
3/19/2025,Tolon No.3 60kg (3),4,8.43,44,1.11,0.3,0.06,0.5,,0.174936,0.02292,1.4256,1.623456
3/19/2025,Tolon No. 2 60kg (2),2,7.15,42,1.02,0.33,0.08,0.7,,0.160752,0.032088,1.6236,1.81644
3/19/2025,Tolon No. 2 60kg (2),3,6.5,51,1.3,0.3,0.02,0.3,,0.20488,0.013752,1.2672,1.485832
3/19/2025,Tolon No.1 60Kg (1),2,9.3,45,1.32,0.29,0.08,0.8,,0.208032,0.036672,1.4652,1.709904
3/19/2025,Tolon No. 2 60kg (2),3,7,42,1.2,0.28,0.04,0.3,,0.18912,0.013752,1.2672,1.470072
3/19/2025,Tolon No.3 60kg (3),7,8.07,55,1.26,0.27,0.15,1.2,,0.198576,0.055008,1.6632,1.916784
3/19/2025,Tolon No.3 60kg (3),7,7.16,54,1.27,0.28,0.14,1.2,,0.200152,0.055008,1.6632,1.91836
3/19/2025,Tolon No. 2 60kg (2),6,10.1,48,1.32,0.18,0.18,1.5,,0.208032,0.06876,1.4256,1.702392
3/20/2025,Tolon No. 2 60kg (2),7,6.42,1.02,1.48,0.23,0.15,1.2,,0.233248,0.055008,1.5048,1.793056
3/20/2025,Tolon No.1 60Kg (1),7,8.45,1.03,1.28,0.22,0.14,1.5,,0.201728,0.06876,1.4256,1.696088
3/20/2025,Tolon No. 2 60kg (2),3,6.12,42,1.17,0.3,0.02,0.2,,0.184392,0.009168,1.2672,1.46076
3/20/2025,Tolon No.3 60kg (3),4,9.1,46,1.26,0.27,0.06,0.6,,0.198576,0.027504,1.3068,1.53288
3/20/2025,Tolon No.3 60kg (3),6,9.05,50,1.45,0.17,0.17,1.4,,0.22852,0.064176,1.3464,1.639096
3/20/2025,Tolon No. 2 60kg (2),3,5.33,42,1.25,0.31,0.02,0.2,,0.197,0.009168,1.3068,1.512968
3/20/2025,Tolon No. 2 60kg (2),6,9,54,1.52,0.2,0.17,1.5,,0.239552,0.06876,1.4652,1.773512
3/20/2025,Tolon No.1 60Kg (1),7,7.1,56,1.32,0.24,0.14,1.2,,0.208032,0.055008,1.5048,1.76784
3/20/2025,Tolon No. 2 60kg (2),6,9.15,56,1.55,0.19,0.16,1.5,,0.24428,0.06876,1.386,1.69904
3/21/2025,Tolon No.3 60kg (3),6,10.14,55,1.58,0.16,0.18,1.7,,0.249008,0.077928,1.3464,1.673336
3/21/2025,Tolon No.3 60kg (3),6,8,53,1.5,0.19,0.15,1.3,,0.2364,0.059592,1.3464,1.642392
3/21/2025,Tolon No. 2 60kg (2),7,9.16,50,1.22,0.23,0.13,1.2,,0.192272,0.055008,1.4256,1.67288
3/21/2025,Tolon No. 2 60kg (2),3,,54,1.42,0.3,0.01,0.1,,0.223792,0.004584,1.2276,1.455976
3/21/2025,Tolon No.1 60Kg (1),7,9.15,58,1.4,0.26,0.14,1.3,,0.22064,0.059592,1.584,1.864232
3/21/2025,Tolon No. 2 60kg (2),2,5.38,51,1.23,0.3,0.08,0.8,,0.193848,0.036672,1.5048,1.73532
3/21/2025,Tolon No.3 60kg (3),2,6.5,41,1.16,0.32,0.07,0.6,,0.182816,0.027504,1.5444,1.75472
3/24/2025,Tolon No.3 60kg (3),7,9.3,56,1.45,0.26,0.18,1.6,,0.22852,0.073344,1.7424,2.044264
3/24/2025,Tolon No. 2 60kg (2),7,11.4,1.03,1.45,0.24,0.11,1.2,,0.22852,0.055008,1.386,1.669528
3/24/2025,Tolon No. 2 60kg (2),7,9.2,50,1.2,0.24,0.15,1.2,,0.18912,0.055008,1.5444,1.788528
3/24/2025,Tolon No.1 60Kg (1),3,5,47,1.33,0.32,0.03,0.2,,0.209608,0.009168,1.386,1.604776
3/24/2025,Tolon No. 2 60kg (2),6,9.05,52,1.45,0.18,0.14,1.4,,0.22852,0.064176,1.2672,1.559896
3/24/2025,Tolon No.3 60kg (3),3,6.13,41,1.28,0.31,0.02,0.3,,0.201728,0.013752,1.3068,1.52228
3/24/2025,Tolon No.3 60kg (3),3,6.1,51,1.14,0.32,0.02,0.2,,0.179664,0.009168,1.3464,1.535232
3/25/2025,Tolon No. 2 60kg (2),7,7.1,52,1.26,0.25,0.14,1.2,,0.198576,0.055008,1.5444,1.797984
3/25/2025,Tolon No. 2 60kg (2),7,8.2,56,1.28,0.24,0.13,1.2,,0.201728,0.055008,1.4652,1.721936
3/25/2025,Tolon No.1 60Kg (1),7,11.3,1,1.41,0.24,0.12,0.8,,0.222216,0.036672,1.4256,1.684488
3/25/2025,Tolon No. 2 60kg (2),6,18.35,1.01,1.64,0.17,0.14,1.6,,0.258464,0.073344,1.2276,1.559408
3/25/2025,Tolon No.3 60kg (3),6,8.45,1.01,1.54,0.15,0.17,1.6,,0.242704,0.073344,1.2672,1.583248
3/25/2025,Tolon No.3 60kg (3),6,10.17,59,1.63,0.19,0.15,1.2,,0.256888,0.055008,1.3464,1.658296
3/25/2025,Tolon No. 2 60kg (2),2,7.11,53,1.33,0.32,0.06,0.6,,0.209608,0.027504,1.5048,1.741912
3/25/2025,Tolon No. 2 60kg (2),2,6.05,47,1.18,0.31,0.06,0.6,,0.185968,0.027504,1.4652,1.678672
